peak,endDate,tgtDate,tgtHhmi,,,
122.56,20190714,20180815,900,,,
122.40,20190714,20180815,915,,,
124,20190714,20180815,930,,,
122.12,20190714,20180815,945,,,
114.64,20190714,20180815,1000,,,
109.44,20190714,20180815,1015,,,
122.24,20190714,20180815,1030,,,
109.88,20190714,20180815,1045,,,
115.04,20190714,20180815,1100,,,
132.64,20190714,20180815,1115,,,
132.04,20190714,20180815,1130,,,
141.84,20190714,20180815,1145,,,
132.76,20190714,20180815,1200,,,
121.40,20190714,20180815,1215,,,
123.84,20190714,20180815,1230,,,
135.36,20190714,20180815,1245,,,
135.80,20190714,20180815,1300,,,
148.04,20190714,20180815,1315,,,
148.48,20190714,20180815,1330,,,
139.84,20190714,20180815,1345,,,
147.16,20190714,20180815,1400,,,
160.72,20190714,20180815,1415,,,
159.12,20190714,20180815,1430,,,
151.76,20190714,20180815,1445,,,
152.36,20190714,20180815,1500,,,
155.96,20190714,20180815,1515,,,
130.76,20190714,20180815,1530,,,
137.24,20190714,20180815,1545,,,
128.88,20190714,20180815,1600,,,
135.80,20190714,20180815,1615,,,
135.36,20190714,20180815,1630,,,
157.40,20190714,20180815,1645,,,
155.52,20190714,20180815,1700,,,
158.56,20190714,20180815,1715,,,
161.28,20190714,20180815,1730,,,
150.32,20190714,20180815,1745,,,
137.68,20190714,20180815,1800,,,
144.28,20190714,20180815,1815,,,
147.44,20190714,20180815,1830,,,
144.16,20190714,20180815,1845,,,
127.00,20190714,20180815,1900,,,
128.88,20190714,20180815,1915,,,
137.68,20190714,20180815,1930,,,
140.56,20190714,20180815,1945,,,
138.40,20190714,20180815,2000,,,
136.96,20190714,20180815,2015,,,
142.40,20190714,20180815,2030,,,
146.44,20190714,20180815,2045,,,
146.16,20190714,20180815,2100,,,
147.60,20190714,20180815,2115,,,
130.04,20190714,20180815,2130,,,
134.80,20190714,20180815,2145,,,
131.32,20190714,20180815,2200,,,
135.08,20190714,20180815,2215,,,
140.24,20190714,20180815,2230,,,
141.28,20190714,20180815,2245,,,
354.52,20190714,20180816,900,,,
402.76,20190714,20180816,915,,,
403.64,20190714,20180816,930,,,
402.04,20190714,20180816,945,,,
380.60,20190714,20180816,1000,,,
381.60,20190714,20180816,1015,,,
410.56,20190714,20180816,1030,,,
407.52,20190714,20180816,1045,,,
412.12,20190714,20180816,1100,,,
403.48,20190714,20180816,1115,,,
409.84,20190714,20180816,1130,,,
424.64,20190714,20180816,1145,,,
410.12,20190714,20180816,1200,,,
370.24,20190714,20180816,1215,,,
288.28,20190714,20180816,1230,,,
285.68,20190714,20180816,1245,,,
309.44,20190714,20180816,1300,,,
345.04,20190714,20180816,1315,,,
388.08,20190714,20180816,1330,,,
386.92,20190714,20180816,1345,,,
370.96,20190714,20180816,1400,,,
400.16,20190714,20180816,1415,,,
398.32,20190714,20180816,1430,,,
401.32,20190714,20180816,1445,,,
393.84,20190714,20180816,1500,,,
413.00,20190714,20180816,1515,,,
399.16,20190714,20180816,1530,,,
410.12,20190714,20180816,1545,,,
404.08,20190714,20180816,1600,,,
402.64,20190714,20180816,1615,,,
389.52,20190714,20180816,1630,,,
385.76,20190714,20180816,1645,,,
378.00,20190714,20180816,1700,,,
251.56,20190714,20180816,1715,,,
177.56,20190714,20180816,1730,,,
168.04,20190714,20180816,1745,,,
160.28,20190714,20180816,1800,,,
161.12,20190714,20180816,1815,,,
166.76,20190714,20180816,1830,,,
178.00,20190714,20180816,1845,,,
151.04,20190714,20180816,1900,,,
165.60,20190714,20180816,1915,,,
164.32,20190714,20180816,1930,,,
163.88,20190714,20180816,1945,,,
150.64,20190714,20180816,2000,,,
134.92,20190714,20180816,2015,,,
143.84,20190714,20180816,2030,,,
138.08,20190714,20180816,2045,,,
129.04,20190714,20180816,2100,,,
125.84,20190714,20180816,2115,,,
135.92,20190714,20180816,2130,,,
128.60,20190714,20180816,2145,,,
134.20,20190714,20180816,2200,,,
136.36,20190714,20180816,2215,,,
135.08,20190714,20180816,2230,,,
134.48,20190714,20180816,2245,,,
340.72,20190714,20180817,900,,,
340.84,20190714,20180817,915,,,
330.32,20190714,20180817,930,,,
337.84,20190714,20180817,945,,,
356.68,20190714,20180817,1000,,,
373.68,20190714,20180817,1015,,,
382.76,20190714,20180817,1030,,,
349.92,20190714,20180817,1045,,,
395.28,20190714,20180817,1100,,,
408.24,20190714,20180817,1115,,,
401.32,20190714,20180817,1130,,,
419.32,20190714,20180817,1145,,,
413.28,20190714,20180817,1200,,,
357.12,20190714,20180817,1215,,,
251.72,20190714,20180817,1230,,,
320.68,20190714,20180817,1245,,,
330.32,20190714,20180817,1300,,,
369.36,20190714,20180817,1315,,,
417.88,20190714,20180817,1330,,,
406.64,20190714,20180817,1345,,,
468.44,20190714,20180817,1400,,,
486.16,20190714,20180817,1415,,,
465.28,20190714,20180817,1430,,,
450.56,20190714,20180817,1445,,,
473.20,20190714,20180817,1500,,,
469.72,20190714,20180817,1515,,,
460.08,20190714,20180817,1530,,,
474.76,20190714,20180817,1545,,,
460.08,20190714,20180817,1600,,,
441.92,20190714,20180817,1615,,,
408.24,20190714,20180817,1630,,,
393.12,20190714,20180817,1645,,,
382.88,20190714,20180817,1700,,,
293.60,20190714,20180817,1715,,,
203.92,20190714,20180817,1730,,,
184.48,20190714,20180817,1745,,,
188.92,20190714,20180817,1800,,,
166.48,20190714,20180817,1815,,,
160.40,20190714,20180817,1830,,,
147.60,20190714,20180817,1845,,,
157.68,20190714,20180817,1900,,,
152.36,20190714,20180817,1915,,,
138.96,20190714,20180817,1930,,,
140.96,20190714,20180817,1945,,,
124.72,20190714,20180817,2000,,,
114.92,20190714,20180817,2015,,,
129.32,20190714,20180817,2030,,,
124.56,20190714,20180817,2045,,,
120.80,20190714,20180817,2100,,,
126.56,20190714,20180817,2115,,,
120.24,20190714,20180817,2130,,,
120.68,20190714,20180817,2145,,,
114.76,20190714,20180817,2200,,,
118.36,20190714,20180817,2215,,,
126.44,20190714,20180817,2230,,,
123.68,20190714,20180817,2245,,,
123.84,20190714,20180818,900,,,
114.32,20190714,20180818,915,,,
